[0.0]	[-0.011]
[20.5]	[3.600]
[20.6]	[3.617]
[20.7]	[3.635]
[20.8]	[3.652]
[20.9]	[3.669]
[21.0]	[3.687]
[21.1]	[3.704]
[21.2]	[3.721]
[21.3]	[3.738]
[21.4]	[3.756]
[21.5]	[3.773]
[21.6]	[3.790]
[21.7]	[3.808]
[21.8]	[3.825]
[21.9]	[3.842]
[22.0]	[3.860]
[22.1]	[3.877]
[22.2]	[3.894]
[22.3]	[3.912]
[22.4]	[3.929]
[22.5]	[3.946]
[22.6]	[3.964]
[22.7]	[3.981]
[22.8]	[3.998]
[22.9]	[4.015]
[23.0]	[4.033]
[23.1]	[4.050]
[23.2]	[4.067]
[23.3]	[4.085]
[23.4]	[4.102]
[23.5]	[4.119]
[23.6]	[4.136]
[23.7]	[4.154]
[23.8]	[4.171]
[23.9]	[4.188]
[24.0]	[4.206]
[24.1]	[4.223]
[24.2]	[4.240]
[24.3]	[4.257]
[24.4]	[4.275]
[24.5]	[4.292]
[24.6]	[4.309]
[24.7]	[4.327]
[24.8]	[4.344]
[24.9]	[4.361]
[25.0]	[4.378]
[25.1]	[4.396]
[25.2]	[4.413]
[25.3]	[4.430]
[25.4]	[4.447]
[25.5]	[4.465]
[25.6]	[4.482]
[25.7]	[4.499]
[25.8]	[4.516]
[25.9]	[4.534]
[26.0]	[4.551]
[26.1]	[4.568]
[26.2]	[4.585]
[26.3]	[4.603]
[26.4]	[4.620]
[26.5]	[4.637]
[26.6]	[4.654]
[26.7]	[4.672]
[26.8]	[4.689]
[26.9]	[4.706]
[27.0]	[4.723]
[27.1]	[4.741]
[27.2]	[4.758]
[27.3]	[4.775]
[27.4]	[4.792]
[27.5]	[4.810]
[27.6]	[4.827]
[27.7]	[4.844]
[27.8]	[4.861]
[27.9]	[4.879]
[28.0]	[4.896]
[28.1]	[4.913]
[28.2]	[4.930]
[28.3]	[4.947]
[28.4]	[4.965]
[28.5]	[4.982]
[28.6]	[4.999]
[28.7]	[5.016]
[28.8]	[5.034]
[28.9]	[5.051]
[29.0]	[5.068]
[29.1]	[5.085]
[29.2]	[5.103]
[29.3]	[5.120]
[29.4]	[5.137]
[29.5]	[5.154]
[29.6]	[5.171]
[29.7]	[5.189]
[29.8]	[5.206]
[29.9]	[5.223]
[30.0]	[5.240]
[30.1]	[5.257]
[30.2]	[5.275]
[30.3]	[5.292]
[30.4]	[5.309]
[30.5]	[5.326]
[30.6]	[5.344]
[30.7]	[5.361]
[30.8]	[5.378]
[30.9]	[5.395]
[31.0]	[5.412]
[31.1]	[5.430]
[31.2]	[5.447]
[31.3]	[5.464]
[31.4]	[5.481]
[31.5]	[5.498]
[31.6]	[5.516]
[31.7]	[5.533]
[31.8]	[5.550]
[31.9]	[5.567]
[32.0]	[5.584]
[32.1]	[5.602]
[32.2]	[5.619]
[32.3]	[5.636]
[32.4]	[5.653]
[32.5]	[5.670]
[32.6]	[5.688]
[32.7]	[5.705]
[32.8]	[5.722]
[32.9]	[5.739]
[33.0]	[5.756]
[33.1]	[5.774]
[33.2]	[5.791]
[33.3]	[5.808]
[33.4]	[5.825]
[33.5]	[5.842]
[33.6]	[5.859]
[33.7]	[5.877]
[33.8]	[5.894]
[33.9]	[5.911]
[34.0]	[5.928]
[34.1]	[5.945]
[34.2]	[5.963]
[34.3]	[5.980]
[34.4]	[5.997]
[34.5]	[6.014]
[34.6]	[6.031]
[34.7]	[6.049]
[34.8]	[6.066]
[34.9]	[6.083]
[35.0]	[6.100]
[35.1]	[6.117]
[35.2]	[6.134]
[35.3]	[6.152]
[35.4]	[6.169]
[35.5]	[6.186]
[35.6]	[6.203]
[35.7]	[6.220]
[35.8]	[6.238]
[35.9]	[6.255]
[36.0]	[6.272]
[36.1]	[6.289]
[36.2]	[6.306]
[36.3]	[6.323]
[36.4]	[6.341]
[36.5]	[6.358]
[36.6]	[6.375]
[36.7]	[6.392]
[36.8]	[6.409]
[36.9]	[6.427]
[37.0]	[6.444]
[37.1]	[6.461]
[37.2]	[6.478]
[37.3]	[6.495]
[37.4]	[6.512]
[37.5]	[6.530]
[37.6]	[6.547]
[37.7]	[6.564]
[37.8]	[6.581]
[37.9]	[6.598]
[38.0]	[6.615]
[38.1]	[6.633]
[38.2]	[6.650]
[38.3]	[6.667]
[38.4]	[6.684]
[38.5]	[6.701]
[38.6]	[6.719]
[38.7]	[6.736]
[38.8]	[6.753]
[38.9]	[6.770]
[39.0]	[6.787]
[39.1]	[6.804]
[39.2]	[6.822]
[39.3]	[6.839]
[39.4]	[6.856]
[39.5]	[6.873]
[39.6]	[6.890]
[39.7]	[6.907]
[39.8]	[6.925]
[39.9]	[6.942]
[40.0]	[6.959]
[40.1]	[6.976]
[40.2]	[6.993]
[40.3]	[7.010]
[40.4]	[7.028]
[40.5]	[7.045]
[40.6]	[7.062]
[40.7]	[7.079]
[40.8]	[7.096]
[40.9]	[7.114]
[41.0]	[7.131]
[41.1]	[7.148]
[41.2]	[7.165]
[41.3]	[7.182]
[41.4]	[7.199]
[41.5]	[7.217]
[41.6]	[7.234]
[41.7]	[7.251]
[41.8]	[7.268]
[41.9]	[7.285]
[42.0]	[7.302]
[42.1]	[7.320]
[42.2]	[7.337]
[42.3]	[7.354]
[42.4]	[7.371]
[42.5]	[7.388]
[42.6]	[7.405]
[42.7]	[7.423]
[42.8]	[7.440]
[42.9]	[7.457]
[43.0]	[7.474]
[43.1]	[7.491]
[43.2]	[7.509]
[43.3]	[7.526]
[43.4]	[7.543]
[43.5]	[7.560]
[43.6]	[7.577]
[43.7]	[7.594]
[43.8]	[7.612]
[43.9]	[7.629]
[44.0]	[7.646]
[44.1]	[7.663]
[44.2]	[7.680]
[44.3]	[7.697]
[44.4]	[7.715]
[44.5]	[7.732]
[44.6]	[7.749]
[44.7]	[7.766]
[44.8]	[7.783]
[44.9]	[7.801]
[45.0]	[7.818]
[45.1]	[7.835]
[45.2]	[7.852]
[45.3]	[7.869]
[45.4]	[7.886]
[45.5]	[7.904]
[45.6]	[7.921]
[45.7]	[7.938]
[45.8]	[7.955]
[45.9]	[7.972]
[46.0]	[7.990]
[46.1]	[8.007]
[46.2]	[8.024]
[46.3]	[8.041]
[46.4]	[8.058]
[46.5]	[8.075]
[46.6]	[8.093]
[46.7]	[8.110]
[46.8]	[8.127]
[46.9]	[8.144]
[47.0]	[8.161]
[47.1]	[8.179]
[47.2]	[8.196]
[47.3]	[8.213]
[47.4]	[8.230]
[47.5]	[8.247]
[47.6]	[8.265]
[47.7]	[8.282]
[47.8]	[8.299]
[47.9]	[8.316]
[48.0]	[8.333]
[48.1]	[8.350]
[48.2]	[8.368]
[48.3]	[8.385]
[48.4]	[8.402]
[48.5]	[8.419]
[48.6]	[8.436]
[48.7]	[8.454]
[48.8]	[8.471]
[48.9]	[8.488]
[49.0]	[8.505]
[49.1]	[8.522]
[49.2]	[8.540]
[49.3]	[8.557]
[49.4]	[8.574]
[49.5]	[8.591]
[49.6]	[8.608]
[49.7]	[8.626]
[49.8]	[8.643]
[49.9]	[8.660]
[50.0]	[8.677]
[50.1]	[8.694]
[50.2]	[8.712]
[50.3]	[8.729]
[50.4]	[8.746]
[50.5]	[8.763]
[50.6]	[8.780]
[50.7]	[8.798]
[50.8]	[8.815]
[50.9]	[8.832]
[51.0]	[8.849]
[51.1]	[8.866]
[51.2]	[8.884]
[51.3]	[8.901]
[51.4]	[8.918]
[51.5]	[8.935]
[51.6]	[8.952]
[51.7]	[8.970]
[51.8]	[8.987]
[51.9]	[9.004]
[52.0]	[9.021]
[52.1]	[9.038]
[52.2]	[9.056]
[52.3]	[9.073]
[52.4]	[9.090]
[52.5]	[9.107]
[52.6]	[9.125]
[52.7]	[9.142]
[52.8]	[9.159]
[52.9]	[9.176]
[53.0]	[9.193]
[53.1]	[9.211]
[53.2]	[9.228]
[53.3]	[9.245]
[53.4]	[9.262]
[53.5]	[9.279]
[53.6]	[9.297]
[53.7]	[9.314]
[53.8]	[9.331]
[53.9]	[9.348]
[54.0]	[9.366]
[54.1]	[9.383]
[54.2]	[9.400]
[54.3]	[9.417]
[54.4]	[9.434]
[54.5]	[9.452]
[54.6]	[9.469]
[54.7]	[9.486]
[54.8]	[9.503]
[54.9]	[9.521]
[55.0]	[9.538]
[55.1]	[9.555]
[55.2]	[9.572]
[55.3]	[9.590]
[55.4]	[9.607]
[55.5]	[9.624]
[55.6]	[9.641]
[55.7]	[9.658]
[55.8]	[9.676]
[55.9]	[9.693]
[56.0]	[9.710]
[56.1]	[9.727]
[56.2]	[9.745]
[56.3]	[9.762]
[56.4]	[9.779]
[56.5]	[9.796]
[56.6]	[9.814]
[56.7]	[9.831]
[56.8]	[9.848]
[56.9]	[9.865]
[57.0]	[9.883]
[57.1]	[9.900]
[57.2]	[9.917]
[57.3]	[9.934]
[57.4]	[9.952]
[57.5]	[9.969]
[57.6]	[9.986]
[57.7]	[10.003]
[57.8]	[10.021]
[57.9]	[10.038]
[58.0]	[10.055]
[58.1]	[10.072]
[58.2]	[10.090]
[58.3]	[10.107]
[58.4]	[10.124]
[58.5]	[10.141]
[58.6]	[10.159]
[58.7]	[10.176]
[58.8]	[10.193]
[58.9]	[10.210]
[59.0]	[10.228]
[59.1]	[10.245]
[59.2]	[10.262]
[59.3]	[10.279]
[59.4]	[10.297]
[59.5]	[10.314]
[59.6]	[10.331]
[59.7]	[10.348]
[59.8]	[10.366]
[59.9]	[10.383]
[60.0]	[10.400]
[60.1]	[10.417]
[60.2]	[10.435]
[60.3]	[10.452]
[60.4]	[10.469]
[60.5]	[10.486]
[60.6]	[10.504]
[60.7]	[10.521]
[60.8]	[10.538]
[60.9]	[10.556]
[61.0]	[10.573]
[61.1]	[10.590]
[61.2]	[10.607]
[61.3]	[10.625]
[61.4]	[10.642]
[61.5]	[10.659]
[61.6]	[10.676]
[61.7]	[10.694]
[61.8]	[10.711]
[61.9]	[10.728]
[62.0]	[10.746]
[62.1]	[10.763]
[62.2]	[10.780]
[62.3]	[10.797]
[62.4]	[10.815]
[62.5]	[10.832]
[62.6]	[10.849]
[62.7]	[10.867]
[62.8]	[10.884]
[62.9]	[10.901]
[63.0]	[10.918]
[63.1]	[10.936]
[63.2]	[10.953]
[63.3]	[10.970]
[63.4]	[10.988]
[63.5]	[11.005]
[63.6]	[11.022]
[63.7]	[11.039]
[63.8]	[11.057]
[63.9]	[11.074]
[64.0]	[11.091]
[64.1]	[11.109]
[64.2]	[11.126]
[64.3]	[11.143]
[64.4]	[11.161]
[64.5]	[11.178]
[64.6]	[11.195]
[64.7]	[11.212]
[64.8]	[11.230]
[64.9]	[11.247]
[65.0]	[11.264]
[65.1]	[11.282]
[65.2]	[11.299]
[65.3]	[11.316]
[65.4]	[11.334]
[65.5]	[11.351]
[65.6]	[11.368]
[65.7]	[11.385]
[65.8]	[11.403]
[65.9]	[11.420]
[66.0]	[11.437]
[66.1]	[11.455]
[66.2]	[11.472]
[66.3]	[11.489]
[66.4]	[11.507]
[66.5]	[11.524]
[66.6]	[11.541]
[66.7]	[11.559]
[66.8]	[11.576]
[66.9]	[11.593]
[67.0]	[11.611]
[67.1]	[11.628]
[67.2]	[11.645]
[67.3]	[11.662]
[67.4]	[11.680]
[67.5]	[11.697]
[67.6]	[11.714]
[67.7]	[11.732]
[67.8]	[11.749]
[67.9]	[11.766]
[68.0]	[11.784]
[68.1]	[11.801]
[68.2]	[11.818]
[68.3]	[11.836]
[68.4]	[11.853]
[68.5]	[11.870]
[68.6]	[11.888]
[68.7]	[11.905]
[68.8]	[11.922]
[68.9]	[11.940]
[69.0]	[11.957]
[69.1]	[11.974]
[69.2]	[11.992]
[69.3]	[12.009]
[69.4]	[12.026]
[69.5]	[12.044]
[69.6]	[12.061]
[69.7]	[12.078]
[69.8]	[12.096]
[69.9]	[12.113]
[70.0]	[12.130]
[70.1]	[12.148]
[70.2]	[12.165]
[70.3]	[12.182]
[70.4]	[12.200]
[70.5]	[12.217]
[70.6]	[12.234]
[70.7]	[12.252]
[70.8]	[12.269]
[70.9]	[12.287]
[71.0]	[12.304]
[71.1]	[12.321]
[71.2]	[12.339]
[71.3]	[12.356]
[71.4]	[12.373]
[71.5]	[12.391]
[71.6]	[12.408]
[71.7]	[12.425]
[71.8]	[12.443]
[71.9]	[12.460]
[72.0]	[12.477]
[72.1]	[12.495]
[72.2]	[12.512]
[72.3]	[12.529]
[72.4]	[12.547]
[72.5]	[12.564]
[72.6]	[12.582]
[72.7]	[12.599]
[72.8]	[12.616]
[72.9]	[12.634]
[73.0]	[12.651]
[73.1]	[12.668]
[73.2]	[12.686]
[73.3]	[12.703]
[73.4]	[12.720]
[73.5]	[12.738]
[73.6]	[12.755]
[73.7]	[12.773]
[73.8]	[12.790]
[73.9]	[12.807]
[74.0]	[12.825]
[74.1]	[12.842]
[74.2]	[12.859]
[74.3]	[12.877]
[74.4]	[12.894]
[74.5]	[12.912]
[74.6]	[12.929]
[74.7]	[12.946]
[74.8]	[12.964]
[74.9]	[12.981]
[75.0]	[12.998]
[75.1]	[13.016]
[75.2]	[13.033]
[75.3]	[13.051]
[75.4]	[13.068]
[75.5]	[13.085]
[75.6]	[13.103]
[75.7]	[13.120]
[75.8]	[13.137]
[75.9]	[13.155]
[76.0]	[13.172]
[76.1]	[13.190]
[76.2]	[13.207]
[76.3]	[13.224]
[76.4]	[13.242]
[76.5]	[13.259]
[76.6]	[13.276]
[76.7]	[13.294]
[76.8]	[13.311]
[76.9]	[13.329]
[77.0]	[13.346]
[77.1]	[13.363]
[77.2]	[13.381]
[77.3]	[13.398]
[77.4]	[13.416]
[77.5]	[13.433]
[77.6]	[13.450]
[77.7]	[13.468]
[77.8]	[13.485]
[77.9]	[13.503]
[78.0]	[13.520]
[78.1]	[13.537]
[78.2]	[13.555]
[78.3]	[13.572]
[78.4]	[13.590]
[78.5]	[13.607]
[78.6]	[13.624]
[78.7]	[13.642]
[78.8]	[13.659]
[78.9]	[13.677]
[79.0]	[13.694]
[79.1]	[13.711]
[79.2]	[13.729]
[79.3]	[13.746]
[79.4]	[13.764]
[79.5]	[13.781]
[79.6]	[13.798]
[79.7]	[13.816]
[79.8]	[13.833]
[79.9]	[13.851]
[80.0]	[13.868]
[80.1]	[13.885]
[80.2]	[13.903]
[80.3]	[13.920]
[80.4]	[13.938]
[80.5]	[13.955]
[80.6]	[13.972]
[80.7]	[13.990]
[80.8]	[14.007]
[80.9]	[14.025]
[81.0]	[14.042]
[81.1]	[14.059]
[81.2]	[14.077]
[81.3]	[14.094]
[81.4]	[14.112]
[81.5]	[14.129]
[81.6]	[14.146]
[81.7]	[14.164]
[81.8]	[14.181]
[81.9]	[14.199]
[82.0]	[14.216]
[82.1]	[14.234]
[82.2]	[14.251]
[82.3]	[14.268]
[82.4]	[14.286]
[82.5]	[14.303]
[82.6]	[14.321]
[82.7]	[14.338]
[82.8]	[14.355]
[82.9]	[14.373]
[83.0]	[14.390]
[83.1]	[14.408]
[83.2]	[14.425]
[83.3]	[14.443]
[83.4]	[14.460]
[83.5]	[14.477]
[83.6]	[14.495]
[83.7]	[14.512]
[83.8]	[14.530]
[83.9]	[14.547]
[84.0]	[14.564]
[84.1]	[14.582]
[84.2]	[14.599]
[84.3]	[14.617]
[84.4]	[14.634]
[84.5]	[14.652]
[84.6]	[14.669]
[84.7]	[14.686]
[84.8]	[14.704]
[84.9]	[14.721]
[85.0]	[14.739]
[85.1]	[14.756]
[85.2]	[14.774]
[85.3]	[14.791]
[85.4]	[14.808]
[85.5]	[14.826]
[85.6]	[14.843]
[85.7]	[14.861]
[85.8]	[14.878]
[85.9]	[14.895]
[86.0]	[14.913]
[86.1]	[14.930]
[86.2]	[14.948]
[86.3]	[14.965]
[86.4]	[14.983]
[86.5]	[15.000]
[86.6]	[15.017]
[86.7]	[15.035]
[86.8]	[15.052]
[86.9]	[15.070]
[87.0]	[15.087]
[87.1]	[15.105]
[87.2]	[15.122]
[87.3]	[15.139]
[87.4]	[15.157]
[87.5]	[15.174]
[87.6]	[15.192]
[87.7]	[15.209]
[87.8]	[15.227]
[87.9]	[15.244]
[88.0]	[15.261]
[88.1]	[15.279]
[88.2]	[15.296]
[88.3]	[15.314]
[88.4]	[15.331]
[88.5]	[15.349]
[88.6]	[15.366]
[88.7]	[15.383]
[88.8]	[15.401]
[88.9]	[15.418]
[89.0]	[15.436]
[89.1]	[15.453]
[89.2]	[15.471]
[89.3]	[15.488]
[89.4]	[15.505]
[89.5]	[15.523]
[89.6]	[15.540]
[89.7]	[15.558]
[89.8]	[15.575]
[89.9]	[15.593]
[90.0]	[15.610]
[90.1]	[15.627]
[90.2]	[15.645]
[90.3]	[15.662]
[90.4]	[15.680]
[90.5]	[15.697]
[90.6]	[15.715]
[90.7]	[15.732]
[90.8]	[15.749]
[90.9]	[15.767]
[91.0]	[15.784]
[91.1]	[15.802]
[91.2]	[15.819]
[91.3]	[15.836]
[91.4]	[15.854]
[91.5]	[15.871]
[91.6]	[15.889]
[91.7]	[15.906]
[91.8]	[15.924]
[91.9]	[15.941]
[92.0]	[15.958]
[92.1]	[15.976]
[92.2]	[15.993]
[92.3]	[16.011]
[92.4]	[16.028]
[92.5]	[16.046]
[92.6]	[16.063]
[92.7]	[16.080]
[92.8]	[16.098]
[92.9]	[16.115]
[93.0]	[16.133]
[93.1]	[16.150]
[93.2]	[16.168]
[93.3]	[16.185]
[93.4]	[16.202]
[93.5]	[16.220]
[93.6]	[16.237]
[93.7]	[16.255]
[93.8]	[16.272]
[93.9]	[16.289]
[94.0]	[16.307]
[94.1]	[16.324]
[94.2]	[16.342]
[94.3]	[16.359]
[94.4]	[16.377]
[94.5]	[16.394]
[94.6]	[16.411]
[94.7]	[16.429]
[94.8]	[16.446]
[94.9]	[16.464]
[95.0]	[16.481]
[95.1]	[16.498]
[95.2]	[16.516]
[95.3]	[16.533]
[95.4]	[16.551]
[95.5]	[16.568]
[95.6]	[16.586]
[95.7]	[16.603]
[95.8]	[16.620]
[95.9]	[16.638]
[96.0]	[16.655]
[96.1]	[16.673]
[96.2]	[16.690]
[96.3]	[16.707]
[96.4]	[16.725]
[96.5]	[16.742]
[96.6]	[16.760]
[96.7]	[16.777]
[96.8]	[16.794]
[96.9]	[16.812]
[97.0]	[16.829]
[97.1]	[16.847]
[97.2]	[16.864]
[97.3]	[16.881]
[97.4]	[16.899]
[97.5]	[16.916]
[97.6]	[16.934]
[97.7]	[16.951]
[97.8]	[16.968]
[97.9]	[16.986]
[98.0]	[17.003]
[98.1]	[17.021]
[98.2]	[17.038]
[98.3]	[17.055]
[98.4]	[17.073]
[98.5]	[17.090]
[98.6]	[17.108]
[98.7]	[17.125]
[98.8]	[17.142]
[98.9]	[17.160]
[99.0]	[17.177]
[99.1]	[17.195]
[99.2]	[17.212]
[99.3]	[17.229]
[99.4]	[17.247]
[99.5]	[17.264]
[99.6]	[17.281]
[99.7]	[17.299]
[99.8]	[17.316]
[99.9]	[17.334]
[100.0]	[17.351]
[100.1]	[17.368]
[100.2]	[17.386]
[100.3]	[17.403]
[100.4]	[17.421]
[100.5]	[17.438]
[100.6]	[17.455]
[100.7]	[17.473]
[100.8]	[17.490]
[100.9]	[17.507]
[101.0]	[17.525]
[101.1]	[17.542]
[101.2]	[17.560]
[101.3]	[17.577]
[101.4]	[17.594]
[101.5]	[17.612]
[101.6]	[17.629]
[101.7]	[17.646]
[101.8]	[17.664]
[101.9]	[17.681]
[102.0]	[17.698]
[102.1]	[17.716]
[102.2]	[17.733]
[102.3]	[17.751]
[102.4]	[17.768]
[102.5]	[17.785]
[102.6]	[17.803]
[102.7]	[17.820]
[102.8]	[17.837]
[102.9]	[17.855]
[103.0]	[17.872]
[103.1]	[17.889]
[103.2]	[17.907]
[103.3]	[17.924]
[103.4]	[17.941]
[103.5]	[17.959]
[103.6]	[17.976]
[103.7]	[17.993]
[103.8]	[18.011]
[103.9]	[18.028]
[104.0]	[18.045]
[104.1]	[18.063]
[104.2]	[18.080]
[104.3]	[18.097]
[104.4]	[18.115]
[104.5]	[18.132]
[104.6]	[18.149]
[104.7]	[18.167]
[104.8]	[18.184]
[104.9]	[18.201]
[105.0]	[18.219]
[105.1]	[18.236]
[105.2]	[18.253]
[105.3]	[18.271]
[105.4]	[18.288]
[105.5]	[18.305]
[105.6]	[18.323]
[105.7]	[18.340]
[105.8]	[18.357]
[105.9]	[18.375]
[106.0]	[18.392]
[106.1]	[18.409]
[106.2]	[18.427]
[106.3]	[18.444]
[106.4]	[18.461]
[106.5]	[18.478]
[106.6]	[18.496]
[106.7]	[18.513]
[106.8]	[18.530]
[106.9]	[18.548]
[107.0]	[18.565]
[107.1]	[18.582]
[107.2]	[18.600]
[107.3]	[18.617]
[107.4]	[18.634]
[107.5]	[18.651]
[107.6]	[18.669]
[107.7]	[18.686]
[107.8]	[18.703]
[107.9]	[18.721]
[108.0]	[18.738]
[108.1]	[18.755]
[108.2]	[18.772]
[108.3]	[18.790]
[108.4]	[18.807]
[108.5]	[18.824]
[108.6]	[18.841]
[108.7]	[18.859]
[108.8]	[18.876]
[108.9]	[18.893]
[109.0]	[18.911]
[109.1]	[18.928]
[109.2]	[18.945]
[109.3]	[18.962]
[109.4]	[18.980]
[109.5]	[18.997]
[109.6]	[19.014]
[109.7]	[19.031]
[109.8]	[19.049]
[109.9]	[19.066]
[110.0]	[19.083]
[110.1]	[19.100]
[110.2]	[19.118]
[110.3]	[19.135]
[110.4]	[19.152]
[110.5]	[19.169]
[110.6]	[19.186]
[110.7]	[19.204]
[110.8]	[19.221]
[110.9]	[19.238]
[111.0]	[19.255]
[111.1]	[19.273]
[111.2]	[19.290]
[111.3]	[19.307]
[111.4]	[19.324]
[111.5]	[19.341]
[111.6]	[19.359]
[111.7]	[19.376]
[111.8]	[19.393]
[111.9]	[19.410]
[112.0]	[19.427]
[112.1]	[19.445]
[112.2]	[19.462]
[112.3]	[19.479]
[112.4]	[19.496]
[112.5]	[19.513]
[112.6]	[19.531]
[112.7]	[19.548]
[112.8]	[19.565]
[112.9]	[19.582]
[113.0]	[19.599]
[113.1]	[19.617]
[113.2]	[19.634]
[113.3]	[19.651]
[113.4]	[19.668]
[113.5]	[19.685]
[113.6]	[19.702]
[113.7]	[19.720]
[113.8]	[19.737]
[113.9]	[19.754]
[114.0]	[19.771]
[114.1]	[19.788]
[114.2]	[19.805]
[114.3]	[19.822]
[114.4]	[19.840]
[114.5]	[19.857]
[114.6]	[19.874]
[114.7]	[19.891]
[114.8]	[19.908]
[114.9]	[19.925]
[115.0]	[19.942]
[115.1]	[19.960]
[115.2]	[19.977]
[115.3]	[19.994]
[115.4]	[20.011]
[115.5]	[20.028]
[115.6]	[20.045]
[115.7]	[20.062]
[115.8]	[20.079]
[115.9]	[20.096]
[116.0]	[20.114]
[116.1]	[20.131]
[116.2]	[20.148]
[116.3]	[20.165]
[116.4]	[20.182]
